Title,WatchDate,PandaRating,TimRating,BranRating,JamesRating,AverageRating,RottenTomatoesCritics,RottenTomatoesAudience,Runtime,SponsoredByPanda,SponsoredByTim,SponsoredByBran,SponsoredByJames,SponsoredBy,TMDBID
Armageddon,1/20/2022,7.00,,1.00,6.00,,3.80,7.30,151,,,,James,"Panda, Tim, Bran, James",95
Star Trek: The Motion Picture,1/27/2022,6.00,,7.00,7.00,,4.40,4.20,131,Panda,,,James,"Panda, Tim, Bran, James",152
Final Fantasy VIi: Advent Children,2/3/2022,4.00,,1.00,6.00,,5.00,8.40,126,Panda,,,James,"Panda, Tim, Bran, James",647
Akira,2/10/2022,10.00,,3.00,5.00,,9.00,9.00,124,Panda,,,James,"Panda, Tim, Bran, James",149
Fargo,2/17/2022,10.00,,6.00,10.00,,9.40,9.30,98,Panda,,,James,"Panda, Tim, Bran, James",60622
Hackers,2/24/2022,5.00,5.00,3.00,7.00,,3.10,6.80,105,Panda,,,,"Panda, Tim, Bran, James",10428
The Prestige,3/3/2022,8.00,,9.00,9.00,,7.60,9.20,130,,,,James,"Panda, Tim, Bran, James",1124
Get Shorty,3/10/2022,8.00,8.00,8.00,9.00,4.67,8.80,7.00,105,Panda,,,,James,8012
Legally Blonde,3/17/2022,5.00,,7.00,4.50,6.67,7.00,7.20,96,Panda,,,James,"Panda, James",8835
Clueless,3/24/2022,6.50,,7.00,6.00,3.67,8.10,7.60,97,,,Bran,James,"Panda, James",9603
Let The Right One In,3/31/2022,7.00,,4.50,1.75,6.00,9.80,9.00,114,Panda,,,James,"Panda, James",13310
Luca,4/14/2022,8.50,,10.00,9.00,8.67,9.10,8.60,95,Panda,,,James,"Panda, James",508943
But I'm a Cheerleader,4/20/2022,8.00,8.00,5.00,6.50,5.00,4.10,7.40,85,Panda,,,,Panda,20770
The Batman (2022),4/21/2022,6.50,7.00,7.00,7.00,8.67,8.60,8.70,176,Panda,,,James,James,414906
A Fish Called Wanda,5/5/2022,8.50,8.00,9.00,8.40,8.25,9.60,8.40,108,,,Bran,James,Panda,623
Free Guy,5/19/2022,5.00,7.50,7.50,6.50,5.50,8.00,9.40,115,Panda,,Bran,,"Panda, James",550988
The Matrix,5/26/2022,9.50,,9.50,9.50,6.50,8.80,8.50,136,Panda,,,James,"Bran, James",603
Doctor Strange in the Multiverse of Madness,6/30/2022,8.00,,,7.70,4.42,7.40,8.50,126,,,,James,"Panda, James",453395
Independence Day,7/7/2022,6.50,6.50,7.00,7.20,9.17,6.80,7.50,145,Panda,,,James,"Panda, James",602
Paris When it Sizzles,7/14/2022,7.00,7.00,9.75,9.98,6.88,5.00,6.60,110,,,Bran,James,Panda,22829
Party Monster,7/21/2022,9.99,6.00,1.00,3.50,6.88,2.90,7.50,98,Panda,,,,"Panda, James",1415
The Bob's Burgers Movie,8/25/2022,9.50,7.50,9.50,9.50,8.48,8.80,8.90,102,,,Bran,James,"Bran, James",504827
Gosford Park,9/1/2022,9.00,,9.00,7.80,6.63,8.70,7.80,137,,,,James,"Panda, Bran",5279
Jurassic Park,9/8/2022,9.00,,8.50,8.50,9.50,9.20,9.10,127,Panda,,,James,"Panda, James",329
Cast Away,9/22/2022,4.00,5.00,4.00,1.30,7.85,8.90,8.40,143,Panda,,,James,James,8358
The Addams Family (1991),10/6/2022,8.50,8.00,8.50,7.50,6.80,6.50,6.60,99,Panda,,,James,"Panda, James",2907
Ghostbusters (1984),10/13/2022,8.00,7.00,6.50,8.50,8.43,9.70,8.80,105,Panda,,,James,"Bran, James",620
Addams Family Values,10/19/2022,8.50,,8.50,7.00,5.12,7.40,6.30,94,panda,,Bran,,Panda,2758
The Mummy (1999),10/27/2022,8.00,8.00,8.75,8.50,9.00,6.10,7.50,124,Panda,,,James,"Bran, James",564
Hocus Pocus 2,11/3/2022,3.00,6.00,6.00,2.00,8.60,6.40,5.10,103,,Tim,,,James,642885
Interstellar,11/10/2022,9.00,8.50,9.00,8.60,8.67,7.20,8.60,169,Panda,,,James,"Panda, James",157336
